Url,Status,Name,Organisation,Address,City,State,Zip Code,Country,E-mails,Domain,Alexa Rank,Registrar

https://github.com/abhisheksaxena1998/alpha-url-heath,Legitimate,GITHUB.COM github.com,GitHub  Inc.,None,None,CA,None,US,abusecomplaints@markmonitor.com whoisrequest@markmonitor.com,GITHUB.COM github.com,66,MarkMonitor  Inc.
https://www.wikipedia.org,Legitimate,WIKIPEDIA.ORG wikipedia.org,Wikimedia Foundation  Inc.,None,None,CA,None,US,abusecomplaints@markmonitor.com whoisrequest@markmonitor.com,WIKIPEDIA.ORG wikipedia.org,13,MarkMonitor  Inc.
https://www.codechef.com/,Legitimate,C O D E C H E F . C O M,Directi Internet Solutions Pvt. Ltd.,Directiplex Next to Andheri Subway  Old Nagardas Road Andheri (East),Mumbai,Maharashtra,400069,IN,abuse-contact@publicdomainregistry.com admin@codechef.com abuse@bigrock.com,C O D E C H E F . C O M,9124,BigRock Solutions Ltd
https://www.microsoft.com,Legitimate,MICROSOFT.COM microsoft.com,Microsoft Corporation,One Microsoft Way ,Redmond,WA,98052,US,abusecomplaints@markmonitor.com domains@microsoft.com msnhst@microsoft.com whoisrequest@markmonitor.com,MICROSOFT.COM microsoft.com,34,MarkMonitor  Inc.
https://www.microsoft.com,Legitimate,MICROSOFT.COM microsoft.com,Microsoft Corporation,One Microsoft Way ,Redmond,WA,98052,US,abusecomplaints@markmonitor.com domains@microsoft.com msnhst@microsoft.com whoisrequest@markmonitor.com,MICROSOFT.COM microsoft.com,34,MarkMonitor  Inc.
https://web.whatsapp.com/,Legitimate,W H A T S A P P . C O M,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.com domain@fb.com,W H A T S A P P . C O M,74,RegistrarSafe  LLC
https://web.whatsapp.com/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,74,Not Found
https://web.whatsapp.com/,Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,74,RegistrarSafe LLC
https://www.microsoft.com,Legitimate,MICROSOFT.COMmicrosoft.com,Microsoft Corporation,One Microsoft Way,Redmond,WA,98052,US,abusecomplaints@markmonitor.comdomains@microsoft.commsnhst@microsoft.comwhoisrequest@markmonitor.com,MICROSOFT.COMmicrosoft.com,34,MarkMonitor Inc.
http://cse.iitkgp.ac.in/internship/#,Legitimate,iitkgp.ac.in,None,None,None,West Bengal,None,IN,None,iitkgp.ac.in,10679,ERNET India
